Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Organism Infraspecific Names Isolate	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Isolate	Assembly BioSample Host	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly Level	Assembly Sequencing Tech	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50
GCA_019593445.1	Fusarium oxysporum f. sp. niveum	150523		SAMN16727278	150523		Citrullus lanatus	USA: Florida	2015	Contig	Oxford Nanopore MinION	66194294	45	3557940
GCA_019593455.1	Fusarium oxysporum f. sp. niveum	110407-3-1-1		SAMN16725394	110407-3-1-1		Citrullus lanatus	USA: Florida	2011	Contig	Oxford Nanopore MinION	49702599	33	2837134
GCA_019593485.1	Fusarium oxysporum f. sp. niveum	140507A		SAMN16727279	140507A		Citrullus lanatus	USA: Florida	2014	Contig	Oxford Nanopore MinION	47572965	35	2875315
GCA_019593505.1	Fusarium oxysporum f. sp. niveum	150524		SAMN16727288	150524		Citrullus lanatus	USA: Florida	2015	Contig	Oxford Nanopore MinION	61372023	35	3184853
GCA_019721145.1	Fusarium oxysporum f. sp. niveum	140508B		SAMN16725403	140508B		Citrullus lanatus	USA: Florida	2014	Scaffold	Illumina MiSeq	54966825	4920	159002
GCA_019721165.1	Fusarium oxysporum f. sp. niveum	150319		SAMN16727311	150319		Citrullus lanatus	USA: Florida	2015	Scaffold	Illumina MiSeq	55322575	4752	170596
GCA_019721175.1	Fusarium oxysporum f. sp. niveum	150515-1		SAMN16727322	150515-1		Citrullus lanatus	USA: Florida	2015	Scaffold	Illumina MiSeq	52219321	3010	424183
GCA_025216225.1	Fusarium oxysporum f. sp. niveum	VPRI44310		SAMN28868162	VPRI44310		Citrullus lanatus	Australia: Queensland	2016	Contig	Illumina NovaSeq	54708086	5551	224896
GCA_025216245.1	Fusarium oxysporum f. sp. niveum	VPRI44308		SAMN28868160	VPRI44308		Citrullus lanatus	Australia: Chinchilla, Queensland	2016	Contig	Illumina NovaSeq	52067854	4536	213549
GCA_025216265.1	Fusarium oxysporum f. sp. niveum	VPRI44309		SAMN28868161	VPRI44309		Citrullus lanatus	Australia: Northern Territory	2016	Contig	Illumina NovaSeq	54177864	5371	263013
GCA_025216285.1	Fusarium oxysporum f. sp. niveum	VPRI44306		SAMN28868158	VPRI44306		Citrullus lanatus	Australia: WA	2016	Contig	Illumina NovaSeq	57001784	7339	179430
GCA_025216305.1	Fusarium oxysporum f. sp. niveum	VPRI44307		SAMN28868159	VPRI44307		Citrullus lanatus	Australia: Qakey, Queensland	2016	Contig	Illumina NovaSeq	54027550	5826	253499
GCA_025216325.1	Fusarium oxysporum f. sp. niveum	VPRI44305		SAMN28868157	VPRI44305		Citrullus lanatus	Australia: WA	2016	Contig	Illumina NovaSeq	56585060	7928	164562
GCA_025216585.1	Fusarium oxysporum f. sp. niveum	VPRI44293		SAMN28868145	VPRI44293		Citrullus lanatus (Thunb.) Matsum. & Nakai var. caffer	Australia: Queensland	missing	Contig	Illumina NovaSeq	55259171	7468	157138
GCA_025266885.1	Fusarium oxysporum f. sp. niveum	VPRI44255		SAMN28868101	VPRI44255		Citrullus lanatus	Australia: Queensland	1971-12-08	Contig	Illumina NovaSeq	56905235	7343	183052
GCA_025266905.1	Fusarium oxysporum f. sp. niveum	VPRI44254		SAMN28868100	VPRI44254		Citrullus lanatus	Australia: Queensland	1971-01-20	Contig	Illumina NovaSeq	56939789	7373	157276
GCA_026212305.1	Fusarium oxysporum f. sp. niveum	COM		SAMN30676175	COM		watermelon	USA	2020-06	Contig	Illumina NovaSeq	48079664	2639	71557
GCA_026260275.1	Fusarium oxysporum f. sp. niveum	HAR		SAMN30676178	HAR		watermelon	USA	2002-04	Contig	Illumina NovaSeq	49439751	2417	104519
GCA_026260535.1	Fusarium oxysporum f. sp. niveum	PRU		SAMN30676176	PRU		watermelon	USA	1998-05	Contig	Illumina NovaSeq	48862474	2459	92086
GCA_027475055.1	Fusarium oxysporum f. sp. niveum	STO		SAMN30676179	STO		watermelon	USA	1997-05	Contig	Illumina NovaSeq	49516370	2343	111934
GCA_027475405.1	Fusarium oxysporum f. sp. niveum	W2		SAMN30676177	W2		watermelon	USA	2018-03	Contig	Illumina NovaSeq	49226959	2360	99087
GCA_025176785.1	Fusarium oxysporum f. sp. passiflorae	VPRI44269		SAMN28868115	VPRI44269		Passiflora edulis	Australia: New South Wales	2006-07-24	Contig	Illumina NovaSeq	55977072	3197	393400
GCA_025216365.1	Fusarium oxysporum f. sp. passiflorae	VPRI44302		SAMN28868154	VPRI44302		Passiflora edulis	Australia: New South Wales	1996-07-08	Contig	Illumina NovaSeq	49126315	1216	565257
GCA_025217185.1	Fusarium oxysporum f. sp. passiflorae	VPRI44270		SAMN28868116	VPRI44270		Passiflora edulis	Australia: Queensland	1960	Contig	Illumina NovaSeq	49559659	1245	548484
GCA_025267645.1	Fusarium oxysporum f. sp. passiflorae	VPRI44203		SAMN28868094	VPRI44203		Passiflora edulis	Australia: Queensland	missing	Contig	Illumina NovaSeq	49585717	1214	604136
GCA_054130785.1	Fusarium oxysporum f. sp. phaseoli	FOP-SP1		SAMN34996102	FOP-SP1		Phaseolus vulgaris	Spain: Avila, La Carrera	1993	Chromosome	PacBio RS; IonTorrent	54437586	241	1046721
GCA_054643655.1	Fusarium oxysporum f. sp. phaseoli	LM-2		SAMN54519265	LM-2		Vigna unguiculata	China: Hainan	2025	Chromosome	Illumina NovaSeq 6000; PacBio Sequel II; Hi-C	53359552	21	4722721
GCA_016906485.1	Fusarium oxysporum f. sp. physali	MAP5		SAMN15317827	MAP5		Physalis peruviana	Colombia: Cundinamarca-Silvania	2008-10-21	Contig	Illumina MiSeq	45031410	2012	69731
GCA_017654635.1	Fusarium oxysporum f. sp. physali	B01		SAMN16793535	B01		Physalis peruviana	Colombia:Boyaca	2014	Contig	Illumina MiSeq	48271709	1698	117037
GCA_017654645.1	Fusarium oxysporum f. sp. physali	A72		SAMN16793537	A72		Physalis peruviana	Colombia:Antioquia	2014	Contig	Illumina MiSeq	48187924	1635	126245
GCA_017654655.1	Fusarium oxysporum f. sp. physali	B04		SAMN16793536	B04		Physalis peruviana	Colombia:Boyaca	2014	Contig	Illumina MiSeq	46223439	1389	124837
GCA_017654665.1	Fusarium oxysporum f. sp. physali	B117		SAMN16793538	B117		Physalis peruviana	Colombia:Boyaca	2016	Contig	Illumina MiSeq	46395383	1415	119907
GCA_000260075.2	Fusarium oxysporum f. sp. pisi HDV247	HDV247		SAMN02981366	HDV247					Scaffold	Illumina	55188216	1744	230512
GCA_001702645.1	Fusarium oxysporum f. sp. radicis-cucumerinum	Forc031		SAMN04348766	Forc031			Greece: Crete	1990	Scaffold	Illumina HiSeq	49339229	1663	345672
GCA_001702695.2	Fusarium oxysporum f. sp. radicis-cucumerinum	Forc016		SAMN04348764	Forc016			Canada	2000	Chromosome	PacBio	52860752	32	4490135
GCA_001702725.1	Fusarium oxysporum f. sp. radicis-cucumerinum	Forc024		SAMN04348765	Forc024			Greece: Crete	1992	Scaffold	Illumina HiSeq	49345544	1469	360228
GCA_048164945.1	Fusarium oxysporum f. sp. radicis-cucumerinum	V03-2g		SAMN45160193	V03-2g			not applicable	not applicable	Complete Genome	Oxford Nanopore MinION	51052521	13	4490286
GCA_048165035.1	Fusarium oxysporum f. sp. radicis-lycopersici	ZUM2407		SAMN45160194	ZUM2407			not applicable	not applicable	Complete Genome	Oxford Nanopore MinION	53210117	14	4883214
GCA_000260155.3	Fusarium oxysporum f. sp. radicis-lycopersici 26381	26381		SAMN02981376	26381					Scaffold	Illumina	49359289	725	554902
GCA_019157295.1	Fusarium oxysporum f. sp. rapae	Tf1208		SAMN17118325	Tf1208		Brassica rapa	Japan: Ibaraki	2010	Contig	PacBio Sequel	59760091	25	4227812
GCA_057814765.1	Fusarium oxysporum f. sp. rapae	F38		SAMN17141409	F38			Taiwan: Siluo, Yunlin City	2012-05-01	Scaffold	PacBio Sequel; Illumina HiSeq	57219107	482	1258907
GCA_019157275.1	Fusarium oxysporum f. sp. raphani	Tf1262		SAMN17118324	Tf1262		radish	Japan: Miyazaki	2010	Contig	PacBio RSII	66822448	59	2955369
GCA_000260235.2	Fusarium oxysporum f. sp. raphani 54005	54005		SAMN02981381	54005					Scaffold	Illumina	53499362	2323	120870
GCA_017979615.1	Fusarium oxysporum f. sp. sesami		MR4003	SAMN16362097		MR4003	Sesamum indicum	South Korea	2019	Contig	PacBio Sequel	71179250	96	3810255
GCA_013347345.2	Fusarium oxysporum f. sp. spinaciae	Fus254		SAMN11520602	Fus254		Spinacia oleracea	USA: Washington County, Oregon	2009	Chromosome	Oxford Nanopore MinION	63669648	27	4070646
GCA_013347495.1	Fusarium oxysporum f. sp. spinaciae	Fus173		SAMN11520596	Fus173		Spinacia oleracea	Japan	1991	Scaffold	Illumina HiSeq	56157493	3037	145988
GCA_013347505.1	Fusarium oxysporum f. sp. spinaciae	Fus322		SAMN11520601	Fus322		Spinacia oleracea	USA: California	2011	Scaffold	Illumina HiSeq	56055209	4036	92846
GCA_013347515.1	Fusarium oxysporum f. sp. spinaciae	Fus057		SAMN11520593	Fus057		Spinacia oleracea	USA: Skagit County, Washington	2006	Scaffold	Illumina HiSeq	56172659	4073	94354
GCA_013347525.1	Fusarium oxysporum f. sp. spinaciae	Fus059		SAMN11520594	Fus059		Spinacia oleracea	USA: Skagit County, Washington	2006	Scaffold	Illumina HiSeq	56097558	4035	93670
GCA_013347535.2	Fusarium oxysporum f. sp. spinaciae	Fus167		SAMN11520595	Fus167		Spinacia oleracea	USA: Arkansas	1991	Chromosome	Oxford Nanopore MinION	64054962	25	4380961
GCA_013347635.1	Fusarium oxysporum f. sp. spinaciae	Fus001		SAMN11520591	Fus001		Spinacia oleracea	USA: Skagit County, Washington	2000	Scaffold	Illumina HiSeq	56129155	3111	152687
GCA_015227905.1	Fusarium oxysporum f. sp. spinaciae	MF42		SAMN13546516	MF42		Spinacia oleracea	USA: Arkansas	missing	Scaffold	Illumina HiSeq	55588715	4108	251677
GCA_015228045.1	Fusarium oxysporum f. sp. spinaciae	MF34		SAMN13546515	MF34		Spinacia oleracea	USA: Arkansas	missing	Scaffold	Illumina HiSeq	54714451	4240	123808
GCA_015228055.1	Fusarium oxysporum f. sp. spinaciae	MF15		SAMN13546514	MF15		Spinacia oleracea	USA: Arkansas	missing	Scaffold	Illumina HiSeq	55716720	4146	192756
GCA_025216545.1	Fusarium oxysporum f. sp. spinaciae	VPRI44294		SAMN28868146	VPRI44294		Spinacia oleracea L.	Australia: Victoria	1976-12	Contig	Illumina NovaSeq	56006972	7095	125546
GCA_025203105.1	Fusarium oxysporum f. sp. tracheiphilum	VPRI44258		SAMN28868104	VPRI44258		Vigna unguiculata	Australia: Queensland	2012-02-06	Contig	Illumina NovaSeq	49075647	1107	431064
GCA_002233805.1	Fusarium oxysporum f. sp. tulipae	Tu67		SAMN07201034	Tu67			Netherlands	missing	Scaffold	Illumina HiSeq	54343307	3908	394910
GCA_025203025.1	Fusarium oxysporum f. sp. tulipae	VPRI44264		SAMN28868110	VPRI44264		Tulipa sp.	Australia: Tasmania	2001	Contig	Illumina NovaSeq	54845393	5506	484586
GCA_025203045.1	Fusarium oxysporum f. sp. tulipae	VPRI44265		SAMN28868111	VPRI44265		Tulipa sp.	Australia: Tasmania	2001	Contig	Illumina NovaSeq	55371959	6144	412467
GCA_025203085.1	Fusarium oxysporum f. sp. tulipae	VPRI44263		SAMN28868109	VPRI44263		Tulipa sp.	Australia: Victoria	2001	Contig	Illumina NovaSeq	55721060	5444	412371
GCA_025217225.1	Fusarium oxysporum f. sp. tulipae	VPRI44266		SAMN28868112	VPRI44266		Tulipa sp.	Australia: Tasmania	2001	Contig	Illumina NovaSeq	55111608	5371	404923
GCA_052324365.1	Fusarium oxysporum f. sp. vanillae	CRC		SAMN44751659	CRC		Vanilla planifolia	Costa Rica: San Carlos	2021-06-09	Contig	PacBio RSII	43866322	17	4371573
GCA_052324385.1	Fusarium oxysporum f. sp. vanillae	CRD		SAMN44755580	CRD		Vanilla planifolia	Costa Rica: San Carlos	2021-06-09	Scaffold	PacBio RSII	48130377	541	2110346
GCA_052324405.1	Fusarium oxysporum f. sp. vanillae	RBG 6706		SAMN44767254	RBG 6706		Vanilla planifolia	Comoros	2015-04-11	Contig	PacBio RSII	47842054	48	3994195
GCA_052324425.1	Fusarium oxysporum f. sp. vanillae	RBG 6780		SAMN44768207	RBG 6780		Vanilla planifolia	Indonesia: Yogyakarta	2015-04-11	Contig	PacBio RSII	47427118	25	4380853
GCA_052324445.1	Fusarium oxysporum f. sp. vanillae	RBG 6837		SAMN44768286	RBG 6837		Vanilla planifolia	Indonesia: Lampung	2015-04-11	Contig	PacBio RSII	44447596	43	2065026
GCA_009602505.1	Fusarium oxysporum f. sp. vasinfectum		TF1	SAMN12175309		TF1		USA:Alabama	missing	Contig	PacBio RSII	50043501	17	4223171
GCA_009602545.1	Fusarium oxysporum f. sp. vasinfectum		LA3B	SAMN12175308		LA3B		USA	missing	Contig	PacBio RSII	50437808	17	4733764
GCA_009602615.1	Fusarium oxysporum f. sp. vasinfectum		LA1E	SAMN12175307		LA1E		USA	missing	Contig	PacBio RSII	53532301	26	3332013
GCA_009602625.1	Fusarium oxysporum f. sp. vasinfectum		14-004	SAMN12175306		14-004		USA:Alabama	missing	Contig	PacBio RSII	51686574	18	4700795
GCA_009602635.1	Fusarium oxysporum f. sp. vasinfectum		89-1A	SAMN12175305		89-1A		USA:California	missing	Contig	PacBio RSII	63323888	94	3569865
GCA_012610785.1	Fusarium oxysporum f. sp. vasinfectum	NRRL 25432		SAMN14075062	NRRL 25432		cotton	not applicable	not applicable	Contig	Oxford Nanopore MinION	68717761	634	314388
GCA_012610815.1	Fusarium oxysporum f. sp. vasinfectum	NRRL 31665		SAMN14075063	NRRL 31665		cotton	not applicable	not applicable	Contig	Oxford Nanopore MinION	54936476	433	519806
GCA_012610825.1	Fusarium oxysporum f. sp. vasinfectum	NRRL 25434		SAMN14075061	NRRL 25434		cotton	not applicable	not applicable	Contig	Oxford Nanopore MinION	67801342	861	310784
GCA_012610835.1	Fusarium oxysporum f. sp. vasinfectum	NRRL 25420		SAMN14075060	NRRL 25420		cotton	not applicable	not applicable	Scaffold	Oxford Nanopore MinION	51968224	598	319352
GCA_025216125.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44283		SAMN28868165	VPRI44283		Gossypium hirsutum L.	Australia: New South Wales	missing	Contig	Illumina NovaSeq	54336312	5743	515689
GCA_025216145.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44282		SAMN28868164	VPRI44282		Gossypium hirsutum L.	Australia: New South Wales	missing	Contig	Illumina NovaSeq	52608384	3784	491838
GCA_025216185.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44281		SAMN28868163	VPRI44281		Gossypium hirsutum L.	Australia: Queensland	missing	Contig	Illumina NovaSeq	52608384	3784	491838
GCA_025216345.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44304		SAMN28868156	VPRI44304		Gossypium hirsutum L.	Australia: New South Wales	2020	Contig	Illumina NovaSeq	52640524	3520	555851
GCA_025216385.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44301		SAMN28868153	VPRI44301		Gossypium hirsutum L.	Australia: New South Wales	2007	Contig	Illumina NovaSeq	54364238	5247	527033
GCA_025216405.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44303		SAMN28868155	VPRI44303		Gossypium hirsutum L.	Australia: New South Wales	2017	Contig	Illumina NovaSeq	52597699	3553	645934
GCA_025216425.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44300		SAMN28868152	VPRI44300		Gossypium hirsutum L.	Australia: New South Wales	2007	Contig	Illumina NovaSeq	51060791	2638	517310
GCA_025216445.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44299		SAMN28868151	VPRI44299		Gossypium hirsutum L.	Australia: New South Wales	2007	Contig	Illumina NovaSeq	51035649	2858	444023
GCA_025216465.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44296		SAMN28868148	VPRI44296		Gossypium hirsutum L.	Australia: New South Wales	2007-11	Contig	Illumina NovaSeq	54364238	5247	527033
GCA_025216485.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44297		SAMN28868149	VPRI44297		Gossypium hirsutum L.	Australia: New South Wales	2007-02-09	Contig	Illumina NovaSeq	49698175	3570	563237
GCA_025216505.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44298		SAMN28868150	VPRI44298		Gossypium hirsutum L.	Australia: New South Wales	2007-02-09	Contig	Illumina NovaSeq	52604390	3790	581223
GCA_025216525.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44295		SAMN28868147	VPRI44295		Gossypium hirsutum L.	Australia: New South Wales	1994-12-20	Contig	Illumina NovaSeq	54408177	5351	584122
GCA_025217205.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44267		SAMN28868113	VPRI44267		Gossypium hirsutum L.	Australia: New South Wales	1995-01	Contig	Illumina NovaSeq	54416850	5721	531772
GCA_025217245.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44268		SAMN28868114	VPRI44268		Gossypium hirsutum L.	Australia: Queensland	1994-02	Contig	Illumina NovaSeq	52623989	3517	739439
GCA_025267595.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44202		SAMN28868093	VPRI44202		Gossypium hirsutum L.	Australia: New South Wales	1995-01	Contig	Illumina NovaSeq	54403153	5080	525169
GCA_025267685.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44211		SAMN28868092	VPRI44211		Gossypium hirsutum L.	Australia: New South Wales	1995-01	Contig	Illumina NovaSeq	54391803	5341	510855
GCA_025267705.1	Fusarium oxysporum f. sp. vasinfectum	VPRI44207		SAMN28868090	VPRI44207		Amaranthus macrocarpus	Australia: Queensland	1995-03	Contig	Illumina NovaSeq	52606480	3597	736593
GCA_030719095.1	Fusarium oxysporum f. sp. vasinfectum		ME23	SAMN35724194		ME23		USA: California	missing	Complete Genome	Oxford Nanopore MinION	49876382	13	4885915
GCA_032878545.1	Fusarium oxysporum f. sp. vasinfectum		15-2J	SAMN36911139		15-2J		USA: California	missing	Contig	Oxford Nanopore MinION	64498093	18	4394936
GCA_032991405.1	Fusarium oxysporum f. sp. vasinfectum		Tm2	SAMN36911158		Tm2		USA: California	missing	Contig	Oxford Nanopore MinION	61066645	16	4690743
GCA_038050555.1	Fusarium oxysporum f. sp. vasinfectum	F17		SAMN40479352	F17			China: Xinjiang	2016-09	Scaffold	PacBio Sequel	64156821	33	5006071
GCA_049000195.1	Fusarium oxysporum f. sp. vasinfectum	SG1		SAMN45847222	SG1		Gossypium hirsutum	Australia:Queensland, Saint George	2022-04-22	Contig	PacBio	54539683	56	4291610
GCA_049306905.1	Fusarium oxysporum f. sp. vasinfectum	VCG 01112		SAMN45866338	VCG 01112		Gossypium hirsutum	Australia: MacInyre Valley, NSW	1995-01-05	Chromosome	HiC + PacBio	58678871	25	4433392
GCA_049307005.1	Fusarium oxysporum f. sp. vasinfectum	VCG 01111		SAMN45866337	VCG 01111		Gossypium hirsutum	Australia: Darkubg Downs, QLD	1993-05-26	Chromosome	HiC + PacBio	56291533	27	4299034
GCA_051943205.1	Fusarium oxysporum f. sp. vasinfectum		TX44	SAMN49857350		TX44		USA	2017	Contig	Illumina NovaSeq	53821656	5625	57304
GCA_051943225.1	Fusarium oxysporum f. sp. vasinfectum		CH9170	SAMN49857346		CH9170		China	2015	Contig	Illumina NovaSeq	51048258	4476	54674
GCA_051943265.1	Fusarium oxysporum f. sp. vasinfectum		2051	SAMN49857347		2051		India	1995	Contig	Illumina NovaSeq	52607391	6092	47982
GCA_051943285.1	Fusarium oxysporum f. sp. vasinfectum		CH1969	SAMN49857345		CH1969		China	2015	Contig	Illumina NovaSeq	52161667	4519	67368
GCA_051943305.1	Fusarium oxysporum f. sp. vasinfectum		5xtra	SAMN49857343		5xtra		USA	2018	Contig	Illumina NovaSeq	53523089	5461	59298
GCA_052056925.1	Fusarium oxysporum f. sp. vasinfectum		TX11	SAMN49857349		TX11		USA	2017	Contig	Illumina NovaSeq	54271298	5128	75661
GCA_052056945.1	Fusarium oxysporum f. sp. vasinfectum		2053	SAMN49857348		2053		India	1995	Contig	Illumina NovaSeq	53036104	5072	64948
GCA_052056995.1	Fusarium oxysporum f. sp. vasinfectum		F4AB	SAMN49857344		F4AB		USA	2018	Contig	Illumina NovaSeq	54810784	6798	68690
GCA_000260175.2	Fusarium oxysporum f. sp. vasinfectum 25433	25433		SAMN02981377	25433					Scaffold	Illumina	52914414	1947	150345
GCA_025203755.1	Fusarium oxysporum f. sp. zingiberi	VPRI44200		SAMN28868098	VPRI44200		Zingiber officinale	Australia: Queensland	1998-04-26	Contig	Illumina NovaSeq	48890833	1353	177962
GCA_025216965.1	Fusarium oxysporum f. sp. zingiberi	VPRI44280		SAMN28868126	VPRI44280		Zingiber officinale	Australia: Queensland	1998-05-08	Contig	Illumina NovaSeq	48683298	1428	170164
GCA_025217005.1	Fusarium oxysporum f. sp. zingiberi	VPRI44279		SAMN28868125	VPRI44279		Zingiber officinale	Australia: Queensland	1999-10	Contig	Illumina NovaSeq	48425631	1347	176071
GCA_025217045.1	Fusarium oxysporum f. sp. zingiberi	VPRI44278		SAMN28868124	VPRI44278		Zingiber officinale	Australia: Queensland	1998-05-08	Contig	Illumina NovaSeq	48687918	1473	165273
GCA_051624415.1	Fusarium oxysporum f. sp. zingiberi	pin22		SAMN45224590	pin22		Zingiber officinale	Australia:Queensland	2023	Contig	PacBio Sequel	53469167	94	4657845
GCA_000271705.2	Fusarium oxysporum Fo47	Fo47		SAMN02981332	Fo47					Scaffold	Illumina	49664628	419	762152
GCA_013085055.1	Fusarium oxysporum Fo47	Fo47		SAMN14572364	Fo47			not collected	not collected	Complete Genome	PacBio RSII	50358849	12	4523040
GCA_031834405.1	Fusarium oxysporum II5	II5		SAMN29813974	II5		banana	Indonesia	2013	Chromosome	PacBio	49425076	69	4484645
GCA_000271745.2	Fusarium oxysporum NRRL 32931	NRRL 32931		SAMN02981331	NRRL 32931					Scaffold	Illumina	47906303	545	538881
